PLAN,ANNUAL,NUM_SEATS,total_events_created,DEALS,COMPANIES,CONTACTS,LEADS,TASKS,team_count,pipeline_count,average_stages_per_pipeline,email_templates,activity_types,lost_reasons_count,lead_statuses_count,email_public_turned_on_count,%_users_w_email_on,total_custom_fields,company_custom_fields,contacts_custom_fields,lead_custom_fields,opportunity_custom_fields,projects_custom_fields,tasks_custom_fields,total_saved_fliters,automated_action_executed_count,automated_action_rules_count,tracked_emails_count,loss_reason_count,total_deals_lost,deals_lost_with_loss_reason,total_won_deals,deal_sources_count,contact_group_count,goals_count,total_activities,companies_activities_per_entity,contact_activities_per_entity,deal_activities_per_entity,lead_activities_per_entity,task_activities_per_entity,import_count,total_integration_tokens
professional_monthly,0,3,164245,8.0,1347.0,16377.0,146483.0,30.0,1,2,4,5,3,3,4,1,0.33,56,15,18,17,2,2,2,0,0.0,0.0,136,3,0,0,2,1,4.0,0,208109,12441,28583,65,166866,154,38,0
professional_monthly,0,1,151748,13818.0,1939.0,14172.0,0.0,121819.0,0,98,9,20,6,9,4,0,0.0,45,9,9,0,9,9,9,0,0.0,0.0,27855,9,3469,1476,2,4,3.0,0,1039653,12378,89629,241579,0,696067,1,0
professional_annual,1,13,148324,26038.0,21573.0,42873.0,24.0,57816.0,3,3,9,20,4,3,4,3,0.1,21,2,4,4,11,0,0,9,593.0,7.0,1496,3,43,9,1550,10571,5.0,0,1194118,123625,331834,448759,14201,275699,32,3
business_annual,1,7,145675,24.0,141253.0,255.0,1174.0,2969.0,1,3,5,62,4,3,14,0,0.0,55,17,12,13,13,0,0,1,0.0,0.0,5745,3,0,0,3,5,4.0,0,349285,310448,7479,271,13735,17352,44,3
business_annual,1,1,144680,5.0,22205.0,26609.0,95852.0,9.0,0,2,4,4,3,3,4,0,0.0,47,10,10,10,17,0,0,1,0.0,0.0,508,3,0,0,1,3,5.0,0,359530,136643,69882,429,152546,30,16,0
professional_monthly,0,2,141756,23.0,53416.0,85564.0,5.0,2748.0,1,2,4,4,3,3,4,2,0.67,0,0,0,0,0,0,0,0,0.0,0.0,9437,3,2,0,4,13,6.0,0,389858,122511,253577,148,17,13605,41,0
professional_monthly,0,1,137990,4.0,28.0,137749.0,2.0,207.0,0,2,3,0,4,3,4,1,1.0,1,0,1,0,0,0,0,0,0.0,0.0,19228,3,0,0,0,0,11.0,0,381732,1409,379487,44,328,464,3,1
business_annual_119,1,50,136463,7.0,996.0,2105.0,133179.0,176.0,6,4,2,22,3,3,8,11,0.3,38,11,17,3,6,0,0,2,0.0,0.0,15682,3,0,0,1,2,5.0,0,193225,2260,56815,54,133153,943,7,0
professional_monthly,0,5,132936,3108.0,4423.0,9943.0,765.0,114697.0,0,4,4,7,5,3,4,4,0.67,14,10,0,1,3,0,0,6,0.0,0.0,3077,3,77,17,216,28,28.0,0,616791,58893,132871,35097,3742,386188,1,0
business_monthly,0,4,131791,1108.0,59294.0,63469.0,2.0,7918.0,1,7,4,9,5,8,4,3,0.25,19,3,8,2,6,0,0,7,0.0,0.0,17169,8,164,66,95,58,11.0,1,555286,169652,342075,12986,88,30485,104,1
professional_monthly,0,17,129927,5642.0,2502.0,20816.0,79292.0,21675.0,2,15,5,49,10,4,4,7,0.23,75,0,8,3,64,0,0,8,0.0,0.0,10638,4,752,105,276,1442,10.0,0,616592,11008,251929,148478,77319,127858,29,1
business_annual,1,16,129896,1990.0,25902.0,54913.0,27325.0,19766.0,3,4,6,212,27,8,4,21,0.7,44,12,15,2,10,2,3,10,0.0,0.0,75603,8,578,97,257,228,21.0,5,2659664,158361,2246669,19307,33254,202073,155,0
professional_annual,1,10,127329,1261.0,10652.0,105919.0,9206.0,291.0,1,5,4,11,6,9,5,5,0.38,38,16,5,3,13,1,0,25,0.0,0.0,481,9,163,82,119,62,7.0,0,534530,178329,319335,6869,26280,3717,238,0
professional_annual_49,1,5,127032,6.0,7.0,13.0,126976.0,30.0,1,2,5,7,3,3,13,0,0.0,30,0,0,20,10,0,0,0,0.0,0.0,390,3,0,0,0,1,4.0,0,213897,29,2177,31,211559,101,14,0
business_monthly,0,30,126339,7866.0,7933.0,21142.0,83442.0,5956.0,0,2,5,86,4,12,11,21,0.43,97,25,12,26,33,1,0,11,0.0,0.0,81935,12,770,561,3578,3086,8.0,0,1139920,55394,274148,76357,695474,38547,125,2
business_monthly,0,17,124715,2804.0,4004.0,5685.0,104154.0,8068.0,12,12,4,128,27,4,10,15,0.14,51,7,7,19,18,0,0,76,0.0,0.0,16360,4,77,30,56,208,4.0,77,1069066,35804,84559,47216,853644,47843,502,0
professional_annual,1,10,123766,1428.0,9160.0,105763.0,96.0,7319.0,3,7,7,20,9,3,4,0,0.0,25,6,6,2,10,0,1,7,0.0,0.0,36047,3,85,0,3,1119,6.0,0,639822,166363,390921,36395,964,45179,62,1
professional_monthly,0,11,123581,19880.0,1464.0,19471.0,15086.0,67680.0,4,2,6,22,7,10,5,13,0.5,40,0,5,5,25,1,4,2,0.0,0.0,72150,10,16543,13296,1992,18851,4.0,8,1053275,7515,344900,269577,106242,325041,1,1
professional_monthly,0,1,118217,118.0,12009.0,99960.0,29.0,6101.0,0,2,4,3,3,3,7,0,0.0,40,4,22,3,9,0,2,2,0.0,0.0,10084,3,54,0,4,0,4.0,0,474919,86729,347278,870,5137,34905,20,2
professional_monthly_69,0,43,118130,20346.0,84.0,29356.0,1917.0,66427.0,4,11,5,66,20,21,10,28,0.45,80,0,40,10,30,0,0,38,0.0,0.0,45838,21,7190,1689,321,481,16.0,0,917744,3073,160260,233761,6749,513901,36,2
business_annual_119,1,35,117515,1263.0,3555.0,4421.0,107280.0,996.0,11,2,5,59,7,3,11,5,0.1,29,3,3,11,11,0,1,2,0.0,0.0,9243,3,419,85,297,1247,6.0,325,438014,17970,59141,13922,336689,10292,59,11
professional_annual,1,4,116721,388.0,287.0,905.0,115042.0,99.0,1,6,11,8,4,3,4,0,0.0,13,4,5,1,3,0,0,1,0.0,0.0,14941,3,1,0,28,8,5.0,0,1271850,190208,709476,10546,361056,564,76,2
professional_monthly,0,2,116445,188.0,92141.0,20146.0,3630.0,340.0,1,7,4,8,6,3,4,1,0.2,17,2,0,4,5,6,0,6,0.0,0.0,4179,3,34,5,8,118,7.0,0,479491,251283,66002,153765,6449,1992,127,2
business_monthly,0,10,115439,69.0,36.0,269.0,114974.0,91.0,5,5,4,22,45,4,20,0,0.0,242,0,56,83,97,5,1,2,0.0,0.0,746,4,9,1,0,62,8.0,105,470908,577,23135,2741,435307,9148,149,0
business_annual_119,1,2,114183,35305.0,3916.0,4258.0,66166.0,4538.0,0,2,5,24,4,3,4,1,0.09,10,1,2,7,0,0,0,3,0.0,0.0,3936,3,170,67,403,62,7.0,0,503141,22894,39697,89219,322365,28966,27,0
business_monthly,0,10,112867,19428.0,37532.0,55329.0,4.0,574.0,0,2,4,12,3,3,4,0,0.0,17,1,3,0,13,0,0,11,0.0,0.0,13543,3,1,0,19407,4,3.0,38,794439,231407,335798,225120,34,2080,79,0
professional_annual_49,1,15,111576,0.0,13938.0,93190.0,10.0,4438.0,4,3,4,22,3,3,4,0,0.0,22,0,21,0,1,0,0,2,0.0,0.0,34480,3,0,0,0,0,7.0,0,1103498,42629,1051748,37,95,8989,59,0
professional_monthly_69,0,1,110185,16.0,52.0,97.0,110015.0,5.0,2,4,4,8,4,3,5,0,0.0,12,1,4,6,1,0,0,3,0.0,0.0,112,3,0,0,0,1,10.0,0,115572,155,1640,90,113670,17,6,0
professional_monthly,0,1,109438,104.0,32417.0,76844.0,20.0,53.0,0,2,4,7,3,3,4,0,0.0,33,16,14,1,1,1,0,2,0.0,0.0,2253,3,36,0,9,29,4.0,0,151265,43477,106720,731,21,316,15,1
basic_monthly,0,1,108444,5.0,15384.0,93029.0,3.0,23.0,0,2,4,6,3,3,4,0,0.0,47,19,18,8,1,1,0,1,0.0,0.0,733,3,0,0,0,1,16.0,0,296289,108701,187389,67,5,127,12,0
professional_monthly,0,4,107110,155.0,296.0,9614.0,96460.0,585.0,1,4,4,12,4,5,4,0,0.0,23,5,5,5,4,0,4,1,0.0,0.0,2272,5,7,0,7,105,8.0,0,337297,11867,149213,2224,166233,7760,66,0
professional_annual_49,1,6,105941,206.0,344.0,491.0,104863.0,37.0,1,1,8,12,4,3,5,1,0.06,4,1,1,1,1,0,0,1,0.0,0.0,1401,3,9,1,17,123,14.0,0,144989,1604,33458,1996,107775,156,2,0
professional_annual,1,10,103700,141.0,8069.0,67912.0,16.0,27562.0,0,3,4,13,9,4,7,3,0.23,27,10,8,3,2,1,3,2,0.0,0.0,6743,4,14,5,54,126,14.0,0,535307,83183,307921,1138,896,142169,40,1
professional_annual_49,1,39,100092,1.0,47208.0,49871.0,2.0,3010.0,7,2,4,33,5,3,4,14,0.34,48,12,20,0,0,0,16,2,0.0,0.0,19421,3,0,0,0,0,6.0,0,520834,149948,358466,51,82,12287,1,0
business_monthly,0,54,99951,8929.0,843.0,14485.0,15197.0,60497.0,10,5,9,146,28,12,20,11,0.06,244,2,33,39,144,10,16,1,0.0,0.0,17867,12,2016,119,758,6650,7.0,9,819794,9096,74376,272601,127858,335863,112,3
professional_annual_49,1,4,99362,13.0,663.0,97585.0,1081.0,20.0,0,2,4,7,3,3,6,1,0.14,6,1,2,2,1,0,0,4,0.0,0.0,4295,3,0,0,0,3,10.0,0,151557,5085,143834,67,2468,103,106,2
professional_monthly_69,0,13,95795,10.0,22580.0,46681.0,25842.0,682.0,0,2,4,31,8,4,7,5,0.33,7,1,5,1,0,0,0,1,0.0,0.0,5577,4,0,0,0,3,8.0,0,385031,62797,251872,109,63545,6708,20,1
professional_annual_49,1,9,94269,527.0,2023.0,49235.0,711.0,41773.0,1,3,7,87,15,4,6,1,0.07,60,12,15,8,12,6,7,57,0.0,0.0,32043,4,18,5,230,520,14.0,0,436138,9738,222044,4491,14428,185437,9,2
professional_annual,1,2,94021,4318.0,4091.0,2747.0,81561.0,1304.0,1,4,5,4,7,3,6,0,0.0,46,14,11,6,9,6,0,1,0.0,0.0,1803,3,2161,46,1270,11,12.0,0,156482,18546,21534,22197,87460,6745,47,1
professional_monthly,0,20,92225,63104.0,22836.0,3683.0,1466.0,1136.0,0,2,5,21,8,3,4,8,0.33,27,12,5,5,5,0,0,1,0.0,0.0,24402,3,178,5,264,77,4.0,0,398805,115339,74996,193058,8805,6607,25,1
professional_annual,1,9,88814,114.0,32654.0,26654.0,29218.0,174.0,5,2,4,15,4,3,4,0,0.0,20,5,5,5,5,0,0,2,0.0,0.0,377,3,0,0,4,12,4.0,0,339937,140745,124240,662,73389,901,112,1
professional_annual,1,6,88590,539.0,12964.0,28147.0,46382.0,558.0,1,19,7,38,4,4,17,6,0.32,173,33,35,35,50,10,10,5,0.0,0.0,4715,4,18,0,45,153,12.0,0,363509,61603,157015,16289,124830,3772,171,3
professional_annual,1,2,88350,265.0,32749.0,55004.0,268.0,64.0,0,7,6,3,3,3,4,0,0.0,16,1,6,5,2,1,1,1,0.0,0.0,1040,3,6,0,2,110,10.0,0,198145,72958,122588,1745,505,349,38,0
basic_monthly_24,0,2,87646,19.0,334.0,661.0,86610.0,22.0,0,2,4,5,3,3,8,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,45,3,9,1,1,5,5.0,0,104041,508,7268,171,96006,88,3,0
professional_monthly,0,3,87035,11883.0,3370.0,4541.0,182.0,67059.0,3,3,6,8,6,5,4,2,0.22,0,0,0,0,0,0,0,4,0.0,0.0,3585,5,33,0,70,0,10.0,0,469239,19677,62747,116054,859,269902,3,1
professional_annual,1,33,86729,42566.0,22999.0,21093.0,0.0,71.0,5,4,4,23,5,3,4,0,0.0,25,9,5,0,8,3,0,34,0.0,0.0,15,3,0,0,2,2,4.0,0,343870,102896,81746,158917,0,311,313,0
professional_annual,1,18,84892,3118.0,34236.0,26691.0,7908.0,12939.0,4,1,5,24,7,4,4,8,0.38,58,17,11,15,15,0,0,3,0.0,0.0,10486,4,232,8,1485,2908,8.0,0,370803,84285,140716,67779,17479,60544,9,3
professional_annual,1,2,79755,0.0,24577.0,55173.0,0.0,5.0,0,2,4,3,3,3,4,0,0.0,41,7,7,7,7,6,7,0,0.0,0.0,7,3,0,0,0,0,4.0,0,190582,79768,110783,18,0,13,17,0
business_annual,1,41,79203,1252.0,3442.0,5100.0,64621.0,4788.0,7,2,7,115,14,10,11,21,0.35,125,24,19,46,34,1,1,7,0.0,0.0,31229,10,104,34,394,1042,7.0,0,408439,11691,118698,17505,233827,26718,74,3
business_annual_119,1,90,75616,1334.0,21125.0,29109.0,13827.0,10221.0,8,4,5,145,26,9,8,62,0.48,276,109,52,49,66,0,0,56,48942.0,27.0,12484,9,599,560,221,0,19.0,38,963370,161866,466258,48931,214985,71330,191,3
professional_annual,1,7,73245,529.0,4006.0,5859.0,62434.0,417.0,2,2,3,26,3,5,4,8,0.42,31,3,11,8,7,1,1,4,0.0,0.0,5888,5,39,0,152,26,4.0,0,172660,7607,55056,2978,104654,2365,36,4
professional_monthly_69,0,9,73067,516.0,21140.0,3647.0,47609.0,155.0,6,2,5,10,7,3,3,4,0.33,24,2,9,10,3,0,0,2,0.0,0.0,553,3,1,0,7,0,5.0,0,117183,39511,21759,3449,51701,763,22,1
professional_monthly_69,0,6,71423,172.0,10610.0,2846.0,57773.0,22.0,1,1,7,12,6,5,5,1,0.09,12,2,4,3,2,0,1,1,0.0,0.0,4606,5,4,3,5,71,10.0,0,366134,28017,158106,1385,178491,135,27,1
professional_annual_49,1,10,70324,59.0,17162.0,53099.0,0.0,4.0,2,2,5,3,3,2,4,0,0.0,142,24,28,24,23,22,21,0,0.0,0.0,0,2,2,0,2,4,21.0,0,328682,71262,257070,322,6,22,16,1
professional_annual,1,8,69296,2255.0,7846.0,31238.0,25568.0,2389.0,0,5,5,35,11,12,4,1,0.08,87,20,25,20,16,1,5,9,0.0,0.0,14600,12,268,198,746,906,7.0,0,414558,33691,221281,17389,134139,8058,232,3
professional_monthly,0,16,69115,1825.0,1017.0,36678.0,228.0,29367.0,1,8,6,30,42,11,4,0,0.0,87,4,21,16,30,7,9,13,1.0,1.0,11202,11,714,709,27,889,4.0,0,462867,5591,190063,17072,979,249162,16,3
professional_annual,1,13,68298,1610.0,1457.0,6932.0,55562.0,2737.0,1,3,4,28,3,3,4,4,0.2,41,5,10,9,16,0,1,2,0.0,0.0,32525,3,591,14,674,863,4.0,0,285920,10922,92555,23572,144798,14073,46,2
professional_monthly,0,10,68089,5476.0,231.0,4627.0,53124.0,4631.0,3,17,6,25,13,10,13,2,0.13,46,3,9,12,21,0,0,1,0.0,0.0,17532,10,3134,1993,1342,4850,18.0,0,223704,480,54666,59535,71534,37489,276,4
basic_annual,1,2,67870,63.0,13356.0,54415.0,3.0,33.0,0,6,5,4,3,3,4,1,0.5,35,12,20,1,1,0,1,1,0.0,0.0,9,3,3,0,4,5,4.0,0,263073,64102,198291,464,50,166,100,0
professional_monthly,0,11,67655,832.0,3655.0,59294.0,3760.0,114.0,2,1,4,19,3,3,4,4,0.14,26,9,7,8,2,0,0,1,0.0,0.0,8908,3,60,0,343,97,4.0,0,160272,11397,117740,7565,23083,487,31,0
basic_annual,1,2,67204,3.0,27214.0,39984.0,0.0,3.0,0,2,4,2,3,3,4,0,0.0,2,0,2,0,0,0,0,0,0.0,0.0,152,3,0,0,0,0,15.0,0,231481,64724,166682,69,0,6,8,0
business_annual,1,6,67042,1101.0,1885.0,3522.0,58807.0,1727.0,2,7,5,8,13,4,7,3,0.25,58,22,9,16,11,0,0,18,0.0,0.0,12069,4,14,3,110,1085,12.0,110,429884,10387,163939,15238,227661,12659,10,2
professional_annual,1,2,66965,227.0,6582.0,18051.0,41605.0,500.0,1,3,4,10,10,3,4,1,0.5,11,5,3,3,0,0,0,4,0.0,0.0,3163,3,3,0,34,174,29.0,0,205329,28045,126610,1541,42967,6166,25,1
business_annual,1,7,66806,6292.0,788.0,43489.0,0.0,16237.0,1,3,5,9,6,20,4,3,0.21,25,0,14,1,9,0,1,78,0.0,0.0,10862,20,931,745,3235,4630,14.0,0,663190,3523,497288,57454,989,103936,394,2
business_annual,1,10,66689,523.0,3701.0,9135.0,49329.0,4001.0,3,2,5,55,14,11,8,3,0.11,43,7,8,15,12,0,1,2,0.0,0.0,22117,11,148,6,163,509,17.0,5,295001,22573,88891,6017,154934,22586,159,1
professional_annual,1,1,65994,45.0,76.0,1214.0,64537.0,122.0,0,3,4,2,3,5,4,0,0.0,9,2,2,2,2,0,1,1,0.0,0.0,2408,5,1,0,26,0,8.0,0,91098,345,19452,287,68128,2886,1,1
professional_monthly_69,0,1,65411,4.0,426.0,64977.0,1.0,3.0,0,2,4,2,3,3,4,0,0.0,17,9,8,0,0,0,0,0,0.0,0.0,0,3,0,0,0,3,8.0,0,122803,616,122157,20,4,6,6,3
professional_monthly_69,0,10,64599,292.0,24822.0,37861.0,294.0,1330.0,5,7,4,18,7,6,4,1,0.05,21,2,3,2,13,1,0,3,0.0,0.0,479,6,221,42,9,192,7.0,0,220310,61163,147848,2468,2776,6055,37,1
professional_monthly,0,7,64571,223.0,22.0,283.0,61306.0,2737.0,1,2,8,14,7,3,9,0,0.0,22,0,8,9,5,0,0,1,0.0,0.0,3018,3,7,3,13,1,4.0,0,103347,609,9299,2959,79445,11035,6,3
professional_monthly,0,5,64378,6211.0,16757.0,30446.0,10943.0,21.0,3,2,4,3,7,3,4,1,0.2,26,8,4,7,7,0,0,1,0.0,0.0,3520,3,0,0,1,10,6.0,0,149114,60724,58529,18696,11039,126,8,1
professional_annual,1,11,64355,8277.0,7969.0,9108.0,34185.0,4816.0,0,4,5,51,19,11,6,0,0.0,61,14,12,14,21,0,0,14,0.0,0.0,37136,11,7023,6991,998,1597,5.0,0,478517,35337,119660,71241,205549,46730,104,1
professional_monthly,0,1,64181,3.0,13.0,20.0,64142.0,3.0,0,2,4,5,3,3,4,0,0.0,2,0,0,2,0,0,0,1,0.0,0.0,47,3,0,0,0,2,4.0,0,238675,28350,56611,15,153692,7,5,0
professional_annual_49,1,9,63820,4.0,9414.0,54391.0,2.0,9.0,0,2,3,10,5,3,4,0,0.0,19,0,18,0,1,0,0,5,0.0,0.0,6810,3,0,0,0,2,4.0,0,178887,54454,124364,43,0,26,14,0
professional_monthly,0,1,63561,11543.0,316.0,10384.0,0.0,41318.0,0,4,6,2,28,10,4,0,0.0,123,59,1,0,61,0,2,2,0.0,0.0,46191,10,2,0,2,11439,5.0,0,479626,1558,142323,125136,0,210609,14,1
professional_annual,1,26,62688,2785.0,18316.0,18037.0,22092.0,1458.0,5,8,6,44,12,4,4,33,0.67,10,4,0,0,6,0,0,2,0.0,0.0,74224,4,536,302,424,1297,8.0,0,500293,52131,301352,26206,113314,7290,84,0
professional_monthly_69,0,9,62614,677.0,415.0,865.0,14592.0,46065.0,0,6,5,36,7,10,6,1,0.1,41,5,7,8,18,1,2,1,36.0,3.0,32705,10,22,11,19,18,11.0,0,435884,6779,18887,11800,170811,227607,101,1
professional_monthly,0,11,62345,10330.0,1058.0,10833.0,4.0,40120.0,1,4,5,37,4,3,4,2,0.13,16,2,1,0,13,0,0,9,0.0,0.0,59269,3,2392,959,1579,10323,6.0,0,610035,17613,216117,139860,28698,207747,26,0
professional_monthly,0,12,60883,86.0,161.0,3.0,60227.0,406.0,0,3,4,20,4,4,15,1,0.07,42,12,8,12,8,0,2,5,0.0,0.0,4636,4,35,10,33,58,7.0,0,336536,1630,11456,2155,318839,2456,24,0
professional_annual,1,12,60675,13073.0,1136.0,16472.0,1.0,29993.0,2,8,5,45,4,3,4,11,0.73,14,2,5,0,5,1,1,89,0.0,0.0,5520,3,726,110,2663,137,7.0,0,465459,10422,153106,143277,20,158634,5,3
professional_monthly,0,32,60630,3350.0,7971.0,10583.0,17309.0,21417.0,5,4,3,94,11,7,11,16,0.23,46,8,8,16,12,0,2,10,0.0,0.0,19115,7,1060,387,468,2581,11.0,9,655380,37070,158902,75988,235407,148013,20,3
professional_monthly,0,4,59157,1527.0,7668.0,29301.0,19326.0,1335.0,0,1,14,25,10,6,10,0,0.0,61,9,15,21,12,1,3,7,0.0,0.0,9897,6,766,98,600,542,10.0,8,243426,40834,97796,14408,77330,13058,52,3
professional_annual_49,1,11,58356,2049.0,4113.0,4805.0,42722.0,4667.0,1,2,5,119,4,3,4,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,243956,3,173,30,696,1936,7.0,0,606828,23352,143886,21884,392997,24709,103,1
basic_monthly,0,1,58180,3.0,116.0,58036.0,0.0,25.0,2,2,4,0,3,3,4,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,3,0,0,0,2,4.0,0,58447,249,58025,20,0,153,5,0
