Account ID,ACTIVE,PLAN,ANNUAL,NUM_SEATS,total_events_created,DEALS,COMPANIES,CONTACTS,LEADS,TASKS,team_count,pipeline_count,average_stages_per_pipeline,email_templates,activity_types,lost_reasons_count,lead_statuses_count,email_public_turned_on_count,%_users_w_email_on,total_custom_fields,company_custom_fields,contacts_custom_fields,lead_custom_fields,opportunity_custom_fields,projects_custom_fields,tasks_custom_fields,total_saved_fliters,automated_action_executed_count,automated_action_rules_count,tracked_emails_count,loss_reason_count,total_deals_lost,deals_lost_with_loss_reason,total_won_deals,deal_sources_count,contact_group_count,goals_count,total_activities,companies_activities_per_entity,contact_activities_per_entity,deal_activities_per_entity,lead_activities_per_entity,task_activities_per_entity,import_count,total_integration_tokens,,,,,,,,,,,,,,,,,,,,,,,
133749,0,professional_monthly_69,0,1,189575,3,101,340,188929,202,0,3,6,11,6,3,20,1,0.5,198,13,89,90,3,2,1,13,0,0,4345,3,0,0,0,0,8,0,313618,256,14065,42,298426,829,218,0,,,,,,,,,,,,,,,,,,,,,,,
139985,1,basic_monthly,0,1,177527,15,55705,121801,,6,0,2,4,2,3,3,4,0,0,11,5,6,0,0,0,0,2,0,0,118,3,1,0,1,1,10,0,547385,179921,367360,81,0,23,22,0,,,,,,,,,,,,,,,,,,,,,,,
200890,1,business_annual,1,21,173055,1901,1934,2573,28520,138127,2,1,5,27,8,7,8,2,0.06,103,31,7,26,31,2,6,3,0,0,3833,7,732,454,740,1692,11,30,797292,16369,56637,46909,183776,493601,1,1,,,,,,,,,,,,,,,,,,,,,,,
101229,1,basic_annual,1,1,169029,568,51328,76791,28804,11538,1,8,5,2,3,6,4,0,0,0,0,0,0,0,0,0,2,0,0,59,6,381,379,160,543,11,2,555657,175187,257635,4616,55401,62818,88,2,,,,,,,,,,,,,,,,,,,,,,,
119559,1,professional_monthly_69,0,45,167945,6459,22799,57509,9729,71449,6,21,5,79,9,13,11,45,0.54,168,67,6,27,67,0,1,112,0,0,18915,13,146,19,5718,0,15,4,1132533,115903,433664,167151,56471,359344,235,6,,,,,,,,,,,,,,,,,,,,,,,
192039,0,professional_monthly,0,3,164245,8,1347,16377,146483,30,1,2,4,5,3,3,4,1,0.33,56,15,18,17,2,2,2,0,0,0,136,3,0,0,2,1,4,0,208109,12441,28583,65,166866,154,38,0,,,,,,,,,,,,,,,,,,,,,,,
143951,1,professional_monthly,0,1,151748,13818,1939,14172,,121819,0,98,9,20,6,9,4,0,0,45,9,9,0,9,9,9,0,0,0,27855,9,3469,1476,2,4,3,0,1039653,12378,89629,241579,0,696067,1,0,,,,,,,,,,,,,,,,,,,,,,,
132652,1,professional_annual,1,13,148324,26038,21573,42873,24,57816,3,3,9,20,4,3,4,3,0.1,21,2,4,4,11,0,0,9,593,7,1496,3,43,9,1550,10571,5,0,1194118,123625,331834,448759,14201,275699,32,3,,,,,,,,,,,,,,,,,,,,,,,
150465,1,business_annual,1,7,145675,24,141253,255,1174,2969,1,3,5,62,4,3,14,0,0,55,17,12,13,13,0,0,1,0,0,5745,3,0,0,3,5,4,0,349285,310448,7479,271,13735,17352,44,3,,,,,,,,,,,,,,,,,,,,,,,
126586,1,business_annual,1,1,144680,5,22205,26609,95852,9,0,2,4,4,3,3,4,0,0,47,10,10,10,17,0,0,1,0,0,508,3,0,0,1,3,5,0,359530,136643,69882,429,152546,30,16,0,,,,,,,,,,,,,,,,,,,,,,,
120593,0,professional_monthly,0,2,141756,23,53416,85564,5,2748,1,2,4,4,3,3,4,2,0.67,0,0,0,0,0,0,0,0,0,0,9437,3,2,0,4,13,6,0,389858,122511,253577,148,17,13605,41,0,,,,,,,,,,,,,,,,,,,,,,,
117210,1,professional_monthly,0,1,137990,4,28,137749,2,207,0,2,3,0,4,3,4,1,1,1,0,1,0,0,0,0,0,0,0,19228,3,0,0,0,0,11,0,381732,1409,379487,44,328,464,3,1,,,,,,,,,,,,,,,,,,,,,,,
222599,1,business_annual_119,1,50,136463,7,996,2105,133179,176,6,4,2,22,3,3,8,11,0.3,38,11,17,3,6,0,0,2,0,0,15682,3,0,0,1,2,5,0,193225,2260,56815,54,133153,943,7,0,,,,,,,,,,,,,,,,,,,,,,,
167608,1,professional_monthly,0,5,132936,3108,4423,9943,765,114697,0,4,4,7,5,3,4,4,0.67,14,10,0,1,3,0,0,6,0,0,3077,3,77,17,216,28,28,0,616791,58893,132871,35097,3742,386188,1,0,,,,,,,,,,,,,,,,,,,,,,,
113245,0,business_monthly,0,4,131791,1108,59294,63469,2,7918,1,7,4,9,5,8,4,3,0.25,19,3,8,2,6,0,0,7,0,0,17169,8,164,66,95,58,11,1,555286,169652,342075,12986,88,30485,104,1,,,,,,,,,,,,,,,,,,,,,,,
156565,1,professional_monthly,0,17,129927,5642,2502,20816,79292,21675,2,15,5,49,10,4,4,7,0.23,75,0,8,3,64,0,0,8,0,0,10638,4,752,105,276,1442,10,0,616592,11008,251929,148478,77319,127858,29,1,,,,,,,,,,,,,,,,,,,,,,,
104640,0,business_annual,1,16,129896,1990,25902,54913,27325,19766,3,4,6,212,27,8,4,21,0.7,44,12,15,2,10,2,3,10,0,0,75603,8,578,97,257,228,21,5,2659664,158361,2246669,19307,33254,202073,155,0,,,,,,,,,,,,,,,,,,,,,,,
120816,0,professional_annual,1,10,127329,1261,10652,105919,9206,291,1,5,4,11,6,9,5,5,0.38,38,16,5,3,13,1,0,25,0,0,481,9,163,82,119,62,7,0,534530,178329,319335,6869,26280,3717,238,0,,,,,,,,,,,,,,,,,,,,,,,
270636,1,professional_annual_49,1,5,127032,6,7,13,126976,30,1,2,5,7,3,3,13,0,0,30,0,0,20,10,0,0,0,0,0,390,3,0,0,0,1,4,0,213897,29,2177,31,211559,101,14,0,,,,,,,,,,,,,,,,,,,,,,,
133298,1,business_monthly,0,30,126339,7866,7933,21142,83442,5956,0,2,5,86,4,12,11,21,0.43,97,25,12,26,33,1,0,11,0,0,81935,12,770,561,3578,3086,8,0,1139920,55394,274148,76357,695474,38547,125,2,,,,,,,,,,,,,,,,,,,,,,,
169912,1,business_monthly,0,17,124715,2804,4004,5685,104154,8068,12,12,4,128,27,4,10,15,0.14,51,7,7,19,18,0,0,76,0,0,16360,4,77,30,56,208,4,77,1069066,35804,84559,47216,853644,47843,502,0,,,,,,,,,,,,,,,,,,,,,,,
101852,1,professional_annual,1,10,123766,1428,9160,105763,96,7319,3,7,7,20,9,3,4,0,0,25,6,6,2,10,0,1,7,0,0,36047,3,85,0,3,1119,6,0,639822,166363,390921,36395,964,45179,62,1,,,,,,,,,,,,,,,,,,,,,,,
130940,1,professional_monthly,0,11,123581,19880,1464,19471,15086,67680,4,2,6,22,7,10,5,13,0.5,40,0,5,5,25,1,4,2,0,0,72150,10,16543,13296,1992,18851,4,8,1053275,7515,344900,269577,106242,325041,1,1,,,,,,,,,,,,,,,,,,,,,,,
204948,1,professional_monthly,0,1,118217,118,12009,99960,29,6101,0,2,4,3,3,3,7,0,0,40,4,22,3,9,0,2,2,0,0,10084,3,54,0,4,0,4,0,474919,86729,347278,870,5137,34905,20,2,,,,,,,,,,,,,,,,,,,,,,,
106660,1,professional_monthly_69,0,43,118130,20346,84,29356,1917,66427,4,11,5,66,20,21,10,28,0.45,80,0,40,10,30,0,0,38,0,0,45838,21,7190,1689,321,481,16,0,917744,3073,160260,233761,6749,513901,36,2,,,,,,,,,,,,,,,,,,,,,,,
222982,1,business_annual_119,1,35,117515,1263,3555,4421,107280,996,11,2,5,59,7,3,11,5,0.1,29,3,3,11,11,0,1,2,0,0,9243,3,419,85,297,1247,6,325,438014,17970,59141,13922,336689,10292,59,11,,,,,,,,,,,,,,,,,,,,,,,
114515,0,professional_annual,1,4,116721,388,287,905,115042,99,1,6,11,8,4,3,4,0,0,13,4,5,1,3,0,0,1,0,0,14941,3,1,0,28,8,5,0,1271850,190208,709476,10546,361056,564,76,2,,,,,,,,,,,,,,,,,,,,,,,
165763,1,professional_monthly,0,2,116445,188,92141,20146,3630,340,1,7,4,8,6,3,4,1,0.2,17,2,0,4,5,6,0,6,0,0,4179,3,34,5,8,118,7,0,479491,251283,66002,153765,6449,1992,127,2,,,,,,,,,,,,,,,,,,,,,,,
138084,0,business_monthly,0,10,115439,69,36,269,114974,91,5,5,4,22,45,4,20,0,0,242,0,56,83,97,5,1,2,0,0,746,4,9,1,0,62,8,105,470908,577,23135,2741,435307,9148,149,0,,,,,,,,,,,,,,,,,,,,,,,
103858,1,business_annual_119,1,2,114183,35305,3916,4258,66166,4538,0,2,5,24,4,3,4,1,0.09,10,1,2,7,0,0,0,3,0,0,3936,3,170,67,403,62,7,0,503141,22894,39697,89219,322365,28966,27,0,,,,,,,,,,,,,,,,,,,,,,,
153395,1,business_monthly,0,10,112867,19428,37532,55329,4,574,0,2,4,12,3,3,4,0,0,17,1,3,0,13,0,0,11,0,0,13543,3,1,0,19407,4,3,38,794439,231407,335798,225120,34,2080,79,0,,,,,,,,,,,,,,,,,,,,,,,
206267,1,professional_annual_49,1,15,111576,,13938,93190,10,4438,4,3,4,22,3,3,4,0,0,22,0,21,0,1,0,0,2,0,0,34480,3,0,0,0,0,7,0,1103498,42629,1051748,37,95,8989,59,0,,,,,,,,,,,,,,,,,,,,,,,
231397,0,professional_monthly_69,0,1,110185,16,52,97,110015,5,2,4,4,8,4,3,5,0,0,12,1,4,6,1,0,0,3,0,0,112,3,0,0,0,1,10,0,115572,155,1640,90,113670,17,6,0,,,,,,,,,,,,,,,,,,,,,,,
170934,1,professional_monthly,0,1,109438,104,32417,76844,20,53,0,2,4,7,3,3,4,0,0,33,16,14,1,1,1,0,2,0,0,2253,3,36,0,9,29,4,0,151265,43477,106720,731,21,316,15,1,,,,,,,,,,,,,,,,,,,,,,,
183569,0,basic_monthly,0,1,108444,5,15384,93029,3,23,0,2,4,6,3,3,4,0,0,47,19,18,8,1,1,0,1,0,0,733,3,0,0,0,1,16,0,296289,108701,187389,67,5,127,12,0,,,,,,,,,,,,,,,,,,,,,,,
145432,0,professional_monthly,0,4,107110,155,296,9614,96460,585,1,4,4,12,4,5,4,0,0,23,5,5,5,4,0,4,1,0,0,2272,5,7,0,7,105,8,0,337297,11867,149213,2224,166233,7760,66,0,,,,,,,,,,,,,,,,,,,,,,,
200517,1,professional_annual_49,1,6,105941,206,344,491,104863,37,1,1,8,12,4,3,5,1,0.06,4,1,1,1,1,0,0,1,0,0,1401,3,9,1,17,123,14,0,144989,1604,33458,1996,107775,156,2,0,,,,,,,,,,,,,,,,,,,,,,,
209549,1,professional_annual,1,10,103700,141,8069,67912,16,27562,0,3,4,13,9,4,7,3,0.23,27,10,8,3,2,1,3,2,0,0,6743,4,14,5,54,126,14,0,535307,83183,307921,1138,896,142169,40,1,,,,,,,,,,,,,,,,,,,,,,,
207617,0,professional_annual_49,1,39,100092,1,47208,49871,2,3010,7,2,4,33,5,3,4,14,0.34,48,12,20,0,0,0,16,2,0,0,19421,3,0,0,0,0,6,0,520834,149948,358466,51,82,12287,1,0,,,,,,,,,,,,,,,,,,,,,,,
157251,1,business_monthly,0,54,99951,8929,843,14485,15197,60497,10,5,9,146,28,12,20,11,0.06,244,2,33,39,144,10,16,1,0,0,17867,12,2016,119,758,6650,7,9,819794,9096,74376,272601,127858,335863,112,3,,,,,,,,,,,,,,,,,,,,,,,
167230,1,professional_annual_49,1,4,99362,13,663,97585,1081,20,0,2,4,7,3,3,6,1,0.14,6,1,2,2,1,0,0,4,0,0,4295,3,0,0,0,3,10,0,151557,5085,143834,67,2468,103,106,2,,,,,,,,,,,,,,,,,,,,,,,
231717,1,professional_monthly_69,0,13,95795,10,22580,46681,25842,682,0,2,4,31,8,4,7,5,0.33,7,1,5,1,0,0,0,1,0,0,5577,4,0,0,0,3,8,0,385031,62797,251872,109,63545,6708,20,1,,,,,,,,,,,,,,,,,,,,,,,
242968,1,professional_annual_49,1,9,94269,527,2023,49235,711,41773,1,3,7,87,15,4,6,1,0.07,60,12,15,8,12,6,7,57,0,0,32043,4,18,5,230,520,14,0,436138,9738,222044,4491,14428,185437,9,2,,,,,,,,,,,,,,,,,,,,,,,
133759,1,professional_annual,1,2,94021,4318,4091,2747,81561,1304,1,4,5,4,7,3,6,0,0,46,14,11,6,9,6,0,1,0,0,1803,3,2161,46,1270,11,12,0,156482,18546,21534,22197,87460,6745,47,1,,,,,,,,,,,,,,,,,,,,,,,
195878,1,professional_monthly,0,20,92225,63104,22836,3683,1466,1136,0,2,5,21,8,3,4,8,0.33,27,12,5,5,5,0,0,1,0,0,24402,3,178,5,264,77,4,0,398805,115339,74996,193058,8805,6607,25,1,,,,,,,,,,,,,,,,,,,,,,,
207382,1,professional_annual,1,9,88814,114,32654,26654,29218,174,5,2,4,15,4,3,4,0,0,20,5,5,5,5,0,0,2,0,0,377,3,0,0,4,12,4,0,339937,140745,124240,662,73389,901,112,1,,,,,,,,,,,,,,,,,,,,,,,
114782,1,professional_annual,1,6,88590,539,12964,28147,46382,558,1,19,7,38,4,4,17,6,0.32,173,33,35,35,50,10,10,5,0,0,4715,4,18,0,45,153,12,0,363509,61603,157015,16289,124830,3772,171,3,,,,,,,,,,,,,,,,,,,,,,,
196261,1,professional_annual,1,2,88350,265,32749,55004,268,64,0,7,6,3,3,3,4,0,0,16,1,6,5,2,1,1,1,0,0,1040,3,6,0,2,110,10,0,198145,72958,122588,1745,505,349,38,0,,,,,,,,,,,,,,,,,,,,,,,
251249,0,basic_monthly_24,0,2,87646,19,334,661,86610,22,0,2,4,5,3,3,8,0,0,0,0,0,0,0,0,0,1,0,0,45,3,9,1,1,5,5,0,104041,508,7268,171,96006,88,3,0,,,,,,,,,,,,,,,,,,,,,,,
132158,1,professional_monthly,0,3,87035,11883,3370,4541,182,67059,3,3,6,8,6,5,4,2,0.22,0,0,0,0,0,0,0,4,0,0,3585,5,33,0,70,0,10,0,469239,19677,62747,116054,859,269902,3,1,,,,,,,,,,,,,,,,,,,,,,,
143744,1,professional_annual,1,33,86729,42566,22999,21093,,71,5,4,4,23,5,3,4,0,0,25,9,5,0,8,3,0,34,0,0,15,3,0,0,2,2,4,0,343870,102896,81746,158917,0,311,313,0,,,,,,,,,,,,,,,,,,,,,,,
114869,1,professional_annual,1,18,84892,3118,34236,26691,7908,12939,4,1,5,24,7,4,4,8,0.38,58,17,11,15,15,0,0,3,0,0,10486,4,232,8,1485,2908,8,0,370803,84285,140716,67779,17479,60544,9,3,,,,,,,,,,,,,,,,,,,,,,,
161647,0,professional_annual,1,2,79755,,24577,55173,,5,0,2,4,3,3,3,4,0,0,41,7,7,7,7,6,7,0,0,0,7,3,0,0,0,0,4,0,190582,79768,110783,18,0,13,17,0,,,,,,,,,,,,,,,,,,,,,,,
180855,1,business_annual,1,41,79203,1252,3442,5100,64621,4788,7,2,7,115,14,10,11,21,0.35,125,24,19,46,34,1,1,7,0,0,31229,10,104,34,394,1042,7,0,408439,11691,118698,17505,233827,26718,74,3,,,,,,,,,,,,,,,,,,,,,,,
247824,1,business_annual_119,1,90,75616,1334,21125,29109,13827,10221,8,4,5,145,26,9,8,62,0.48,276,109,52,49,66,0,0,56,48942,27,12484,9,599,560,221,0,19,38,963370,161866,466258,48931,214985,71330,191,3,,,,,,,,,,,,,,,,,,,,,,,
